color,num_critic_for_reviews,duration,director_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes,num_male,num_female,num_asian,num_black,num_hispanic,num_multiracial,num_nativeamerican
Color,723,178,0,760505847,Action|Adventure|Fantasy|Sci-Fi,Avatar ,886204,4834,0,avatar|future|marine|native|paraplegic,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English,USA,PG-13,237000000,2009,7.9,1.78,33000,10,2,2,1,1,2,2
Color,302,169,563,309404152,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End ,471220,48350,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,English,USA,PG-13,300000000,2007,7.1,2.35,0,5,4,4,3,4,3,3
Color,602,148,0,200074175,Action|Adventure|Thriller,Spectre ,275868,11700,1,bomb|espionage|sequel|spy|terrorist,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,English,UK,PG-13,245000000,2015,6.8,2.35,85000,2,3,3,2,0,1,1
Color,813,164,22000,448130642,Action|Thriller,The Dark Knight Rises ,1144337,106759,0,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English,USA,PG-13,250000000,2012,8.5,2.35,164000,13,5,5,4,0,5,0
,,,131,,Documentary,Star Wars: Episode VII - The Force Awakens             ,8,143,0,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,,,7.1,,0,14,6,6,0,5,6,0
Color,462,132,475,73058679,Action|Adventure|Sci-Fi,John Carter ,212204,1873,1,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,USA,PG-13,263700000,2012,6.6,2.35,24000,15,1,1,1,4,4,0
Color,392,156,0,336530303,Action|Adventure|Romance,Spider-Man 3 ,383056,46055,0,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English,USA,PG-13,258000000,2007,6.2,2.35,0,2,7,7,2,9,3,0
Color,324,100,15,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled ,294810,2036,1,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English,USA,PG,260000000,2010,7.8,1.85,29000,6,2,2,0,3,2,0
Color,635,141,0,458991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron ,462669,92000,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,English,USA,PG-13,250000000,2015,7.5,2.35,118000,11,5,5,2,4,2,2
Color,375,153,282,301956980,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince ,321795,58753,3,blood|book|love|potion|professor,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,English,UK,PG,250000000,2009,7.5,2.35,10000,15,7,7,5,7,3,1
